"id","created_at","name","has_test","alternate_url"
"44350010","2021-10-28T10:16:43+0300","-",false,"https://hh.ru/vacancy/44350010"
"45191074","2021-10-28T16:16:43+0300","-",false,"https://hh.ru/vacancy/45191074"
"48434078","2021-10-28T12:06:52+0300","-",false,"https://hh.ru/vacancy/48434078"
"48972650","2021-10-28T15:21:47+0300","Junior",true,"https://hh.ru/vacancy/48972650"
"48975806","2021-10-28T16:16:47+0300","-",false,"https://hh.ru/vacancy/48975806"
"48981753","2021-10-28T19:04:32+0300","-",false,"https://hh.ru/vacancy/48981753"
"49071307","2021-10-28T13:47:41+0300","-",false,"https://hh.ru/vacancy/49071307"
"49120147","2021-10-28T15:04:18+0300","-",false,"https://hh.ru/vacancy/49120147"
"49208162","2021-10-28T10:18:56+0300","Junior",false,"https://hh.ru/vacancy/49208162"
"49215247","2021-10-28T12:39:36+0300","-",false,"https://hh.ru/vacancy/49215247"
"49230831","2021-10-28T18:51:50+0300","-",false,"https://hh.ru/vacancy/49230831"
